Peptide	LFC
ACM1_444_456	0.9325805668071769
ACM4_456_468	0.0565341816846896
ACM5_494_506	-0.01032000133115396
ACM5_498_510	0.006365103236745995
ADDB_706_718	-0.5938171621384409
ADRB2_338_350	-0.8609146905233089
ANDR_785_797	-1.8518789540875833
BAD_112_124	-1.4503660618085004
BAD_69_81	-0.6710644604460914
BAD_93_105	0.4210053092507149
BCKD_45_57	-0.6634840969115183
CA2D1_494_506	-0.958417639293982
CAC1C_1974_1986	-0.8989192438329479
CD27_212_224	0.08756763290904956
CDN1A_139_151	-0.4069934662700909
CENPA_1_14	-0.4297273647360278
CFTR_730_742	-0.8763616016525049
CGHB_109_121	-0.6425004458495369
CREB1_126_138	-0.6212533124002899
CSF1R_701_713	-0.7480894074807036
E1A_ADE05_212_224	-0.6373330741607557
EPB42_241_253	-0.9785449963017605
ERBB2_679_691	-0.388242118823257
ESR1_160_172	-0.4477107949080601
F263_454_466	-0.48637522934663835
FOXO3_25_37	0.06625002327377594
FRAP_2443_2455	-1.2894683744313458
GBRB2_427_439	-0.585605190469142
GPR6_349_361	-1.1130039718571183
GPSM2_394_406	-1.07913333113118
GYS2_1_13	-1.7706881594123134
H2B1B_ 27_40	-0.8311333090624355
H32_3_18	-0.24033290731709656
IF4E_203_215	0.6014111089212175
K6PL_766_778	-0.6474270632581174
KAP2_92_104	-0.6946087934959557
KAP3_107_119	-0.6001549383533202
KAPCG_192_206	0.10176641089873684
KCC2G_278_289	-0.5049585233248433
KCNA2_442_454	-0.871460157673603
KCNA6_504_516	-0.3868482353692535
KIF2C_105_118_S106G	-0.5374060340800941
KPB1_1011_1023	-0.9743771002440802
KPCB_19_31_A25S	-0.5353558734265356
KS6A1_374_386	-0.14100789967086502
LIPS_944_956	-0.7316647127919591
MARCS_152_164	1.0082443334448774
MBP_222_234	-0.2640102485394227
MPIP1_172_184	-1.3856916867050266
MYPC3_268_280	-0.6751983464929392
NCF1_296_308	-0.5860429509430212
NCF1_321_333	-0.6620526528081765
NEK2_172_184	-0.09411924500881419
NFKB1_330_342	-0.71725246428303
NMDZ1_890_902	-0.6638526474584374
NOS3_1171_1183	-1.1417516096012044
NR4A1_344_356	0.5086520247359232
P53_308_323	-0.6199429232494538
PLEK_106_118	-0.44141665834461463
PP2AB_297_309	0.12470425849090194
PPR1A_28_40	-0.5148449243569555
PTK6_436_448	-0.7179494410245351
PTN12_32_44	-0.39835736323518667
RAF1_253_265	0.07560641347463815
RAP1B_172_184	-0.7016282705994872
RB_242_254	-0.75124230634224
RB_803_815	0.018061587152574887
RBL2_655_667	-0.29104123125794956
REL_260_272	-0.9723049291419894
RS6_228_240	-0.7443212445814051
RYR1_4317_4329	-0.6349230211234929
SCN7A_898_910	-1.0150974625058264
STK6_283_295	-0.6080096931905672
TOP2A_1463_1475	-0.46425315250453636
TY3H_65_77	-0.7899365845365427
VASP_150_162	-0.90000551692866
VASP_271_283	-0.48403518230953857
VTNC_390_402	-0.765139575429588
