Peptide	LFC
ACM1_421_433	-0.39489380004987185
ACM4_456_468	-0.4674791541664034
ACM5_494_506	-0.860752302157108
ACM5_498_510	-0.9590061028894961
ADDB_706_718	-0.5335939409534296
ADRB2_338_350	0.3819755429734899
ANXA1_209_221	-0.6291825739586612
BAD_112_124	-0.2760029439896252
BAD_69_81	-0.17107331729768926
BAD_93_105	-0.021345554813708034
CA2D1_494_506	-0.84066173476484
CAC1C_1974_1986	0.45351860740085126
CD27_212_224	-0.30773500006407684
CDN1A_139_151	-0.09695056026531823
CENPA_1_14	-0.5989135811404243
CFTR_730_742	0.5882809243509204
CFTR_761_773	0.3302620947166375
CGHB_109_121	0.21311523027451118
CREB1_126_138	-0.07918719325697143
CSF1R_701_713	0.11908190860184042
DESP_2842_2854	0.37066230446542203
E1A_ADE05_212_224	-0.26801138450508954
EPB42_241_253	0.1950090833530682
ERBB2_679_691	-0.8404409585548436
ESR1_160_172	-0.1813887177454001
F263_454_466	0.3958755077594809
FOXO3_25_37	-0.45359843482037476
FRAP_2443_2455	0.18047897464679874
GBRB2_427_439	-0.027928653972541184
GPR6_349_361	0.03573264432916279
GPSM2_394_406	0.49335778006398634
GRIK2_708_720	0.6076188093543244
GYS2_1_13	-0.08042399494279717
H2B1B_ 27_40	-0.6885001664290153
H32_3_18	-0.2963473609409919
K6PL_766_778	0.1896160155681228
KAP2_92_104	0.31782685540523925
KAP3_107_119	0.16489043919837343
KAPCG_192_206	-0.23973381350794876
KCC2G_278_289	-0.25015606204229623
KCNA1_438_450	0.4016221370446065
KCNA2_442_454	-0.10608125636379562
KCNA3_461_473	0.13858938759142436
KCNA6_504_516	0.5164452783719895
KIF2C_105_118_S106G	0.13853734835258713
KPB1_1011_1023	0.46011551659282635
KPCB_19_31_A25S	-0.6065241560439967
KS6A1_374_386	-0.2584068619061082
LIPS_944_956	0.46623189934573084
MARCS_160_172	-0.20091125928804843
MBP_222_234	-0.24973045414338602
MP2K1_287_299	-0.4396976748106527
MPIP1_172_184	-0.37057752204068883
MYPC3_268_280	0.49349652949781486
NCF1_296_308	0.2342939565972575
NCF1_321_333	0.520936844765723
NEK2_172_184	0.10512949947586403
NFKB1_330_342	-0.19832564021709498
NMDZ1_890_902	0.1443994334690366
NOS3_1171_1183	-0.0239723582574074
P53_12_24	-1.208800381951721
PLEK_106_118	-0.4696350088519168
PLM_76_88	0.010559858630257324
PP2AB_297_309	-1.4306965892204335
PPR1A_28_40	-0.027477236790134363
PRKDC_2618_2630	-1.3327968999617017
PTK6_436_448	0.15966605032781978
PTN12_32_44	-0.3694980516647348
RAF1_253_265	-0.1925960420217585
RAP1B_172_184	-0.38032314686888524
RB_242_254	0.023621529548361053
RB_803_815	-0.6913964498704843
RBL2_655_667	-0.7154191458575068
REL_260_272	0.21519904264732936
RS6_228_240	0.4046601292478291
RYR1_4317_4329	-0.0011367479000670144
SCN7A_898_910	0.5629431986477966
STK6_283_295	-0.022230620848701754
STMN2_90_102	0.36251886846320236
TOP2A_1463_1475	0.11052712464142012
TY3H_65_77	0.29264449468057663
VASP_150_162	0.5927896609609213
VASP_271_283	-0.6527975789433009
VTNC_390_402	0.4697507580945457
